	color	date	model	promo-price	size	standard-price
0	черный	20180316	TA878	499	XS	499
1	красный	20180316	TA878	499	XS	499
2	черный	20180316	TA878	499	S	499
3	красный	20180316	TA878	499	S	499
4	черный	20180316	TA878	499	M	499
5	красный	20180316	TA878	499	M	499
6	черный	20180316	TA878	499	L	499
7	красный	20180316	TA878	499	L	499
8	черный	20180316	TA878	499	XL	499
9	красный	20180316	TA878	499	XL	499
10	слоновая кость	20180325	TA841	499	XS	699
11	слоновая кость	20180325	TA841	499	S	699
12	слоновая кость	20180325	TA841	499	M	699
13	слоновая кость	20180325	TA841	499	L	699
14	слоновая кость	20180325	TA841	499	XL	699
15	белый	20171227	SJ120	199	XS	199
16	серый	20171227	SJ120	199	XS	199
17	зеленый	20171227	SJ120	199	XS	199
18	розовый	20171227	SJ120	199	XS	199
19	черный	20171227	SJ120	199	XS	199
20	розовый	20171227	SJ120	199	XS	199
21	розовый	20171227	SJ120	199	XS	199
22	серый	20171227	SJ120	199	XS	199
23	оранжевый	20171227	SJ120	199	XS	199
24	зеленый	20171227	SJ120	199	XS	199
25	голубой	20171227	SJ120	199	XS	199
26	желтый	20171227	SJ120	199	XS	199
27	белый	20171227	SJ120	199	S	199
28	серый	20171227	SJ120	199	S	199
29	зеленый	20171227	SJ120	199	S	199
30	розовый	20171227	SJ120	199	S	199
31	черный	20171227	SJ120	199	S	199
32	розовый	20171227	SJ120	199	S	199
33	розовый	20171227	SJ120	199	S	199
34	серый	20171227	SJ120	199	S	199
35	оранжевый	20171227	SJ120	199	S	199
36	зеленый	20171227	SJ120	199	S	199
37	голубой	20171227	SJ120	199	S	199
38	желтый	20171227	SJ120	199	S	199
39	белый	20171227	SJ120	199	M	199
40	серый	20171227	SJ120	199	M	199
41	зеленый	20171227	SJ120	199	M	199
42	розовый	20171227	SJ120	199	M	199
43	черный	20171227	SJ120	199	M	199
44	розовый	20171227	SJ120	199	M	199
45	розовый	20171227	SJ120	199	M	199
46	серый	20171227	SJ120	199	M	199
